source	sha256
GBM标签数据库/GBM_unified_registry_de_novo_benchmark_AuthorityV2_2026-07-23/09_de_novo_derived/14_full_gene_single_cell_v2_1_2/05_model_classification/PRIMARY201_FULL_GENE_CLASSIFICATION.tsv	b370dc81840e7dd2d3f25b0c6840aa3cbb137f4e64192af82c5d53ba53945963
IVYGAP_PATHOLOGY_ANATOMY_EXTENSION_V1/06_ANATOMICAL_IDENTIFIABILITY/ANATOMICAL_INFORMATIVENESS_VS_IDENTIFIABILITY.tsv	c22d416df151b62773c68acd94e53d4b9f8fa186a761a490a5cda6f38ab6be98
GBM_SIGNATURE_FINAL_SPECIFIC_GAP_CLOSURE_V1_FINAL/03_wp3_acta_geomx/ACTA2025_COMPARTMENT_IDENTIFIABILITY.tsv	f6e114c0e4b3d041b4098c4586ec467e5221754e41c414550e29ca10db208e73
RESULTS_DATA_FREEZE_20260916/R3/R3_RESIDUAL_AXIS_GATES.tsv	baac0ecb683d74c7b34baebd493c0ca471daa7ab949d2d64ed4b98e6451bfd42
RESULTS_DATA_FREEZE_20260916/R3/R3_COHORT_GEOMETRY.tsv	9ea930d2ec0655981486fe88e84bb39d764b0f9b2c757575900c367d9a81bfa4
RESULTS_DATA_FREEZE_20260916/R3/R3_COHORT_GEOMETRY_dimension_support.tsv	c910a9c77e990e712d0e676b0c2d7c66e31b5813ad4abaf8481ce007de4b7a66
RESULTS_DATA_FREEZE_20260916/R4/R4_NULL_CALIBRATION.tsv	65aa63fa4278fb9b46a88fab8d60b88aea6e3637e7c68ed1b9891df25e9ef2ec
RESULTS_DATA_FREEZE_20260916/R4/R4_NAIVE_BLOCKED_COMPARISON.tsv	f722b0185781eaf8d560fe1670ebc82259fec4ad99840c2e5358ab3b1323914f
RESULTS_DATA_FREEZE_20260916/R1/R1_RANDOM_PANEL_COMPARATORS.tsv	89cd3fa424bdcc0464395a7688d2777aba931cb07ccd61ea3582bc3a5879a41b
GBM_ACT6_EVALUABLY_IMPLEMENTATION_V1/ACT6_POSTFREEZE_CRC04/CRC04_FRESH_SESSION_REPRODUCTION.json	301d9e4ede0ce5618b64dcd3bbc8c1b8f70df4195b7a194d5f7059fa5f26a47f
GBM_ACT6_EVALUABLY_IMPLEMENTATION_V1/ACT6_POSTFREEZE_CRC04/CRC04_FINAL_EXECUTION_STATUS.json	26ffd1950aeb0fad65f20a61341cac0e53cbd2833308f3a8ba95bd28bdb5a312
GBM_ACT6_CURRENT_CLAUDE_EVIDENCE_HANDOFF_2026-09-11/resource/PRIMARY201_MODEL_MANIFEST_FROZEN.tsv	1a27dd10c5e5d3bbd19d895e7078d8633f18de44d2a1d829b999cb541ab6f368
RESULTS_DATA_FREEZE_20260916/01_MASTER_RESULTS_EVIDENCE.tsv	d58386e3399bece7ee6b07e74710c81a35c6941f04507b2000046a7cbd7fcb2d
RESULTS_DATA_FREEZE_20260916/R1/R1_TRANSFER.tsv	e596053cebd8d39420d4231a25aef9ad6ed4b4dafa31a32fd466aa2efcf602c1
RESULTS_DATA_FREEZE_20260916/R2/R2_MATCHED_DISTANCE_AUDIT.tsv	e98cdaab606acf72275bc534d8b9ecdc57c2c095840c3ac9c6016afb83c878d0
RESULTS_DATA_FREEZE_20260916/R2/R2_CONTEXT_STATISTIC_AUDIT.tsv	cb80f7198857b2fa692e94977457509cebfcf0cf2562ff88ef8e9d2fd4fffa04
FIG3_ACT3_FINAL_REALDATA/03_PLOTTING_DATA/Fig3A_field.tsv	f5d3e8cdb9b7a5376544f62e8fd1df364a994e74a90b9c153315558cf3553d13
Figure4_ACT4_updated/data/G_examples.tsv	5a4b81e9b08db4495379eb06f97f5993f97d91a62c4c70a2c4cb670fd80a7764
RESULTS_DATA_FREEZE_20260916/R5/R5_EVALUABILITY.tsv	0f32dff11a8e724bdf41a5b14620c47ee930e8dbec87872cf0a4a956ec75f302
Figure6_ACT6_FINAL/source_data/panel_B_frozen_claim_records.tsv	289b875e472ad775b9d2e44264219d46d7260d84b1036f20c143c9096555748a
